num_elements,VEC,delta_r,delta_en,S_mix,H_mix,T_melt,omega,x_Ag,x_Al,x_B,x_C,x_Ca,x_Co,x_Cr,x_Cu,x_Fe,x_Ga,x_Hf,x_Li,x_Mg,x_Mn,x_Mo,x_Nb,x_Nd,x_Ni,x_Pd,x_Re,x_Sc,x_Si,x_Sn,x_Ta,x_Ti,x_V,x_W,x_Y,x_Zn,x_Zr,test_temperature,test_type_compression,micro_BCC_based,micro_BCC_single,micro_FCC_based,micro_FCC_single,micro_Mixed,micro_Unknown,proc_ANNEAL,proc_CAST,proc_OTHER,proc_POWDER,proc_WROUGHT,grain_size_known,grain_size_log,YS_MPa
6,6.909090909090909,13.20457069586867,0.2499388354930127,14.697168880613484,-10.181818181818183,1878.4545454545455,2.7114964337507725,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1060.0
6,6.461822376009228,19.4926671167198,0.34198000994474537,14.784530609486772,-7.2916225726330985,2177.425605536332,4.414959111535957,0.0,0.15386389850057672,0.0,0.2306805074971165,0.0,0.15386389850057672,0.15386389850057672,0.0,0.15386389850057672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15386389850057672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1255.0
6,6.666666666666666,16.99894886611733,0.3080404013906111,14.896688227162047,-8.555555555555554,2040.5,3.552860142177734,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1251.0
5,7.2,5.437822931966038,0.12056533498481224,13.380866803977112,-12.320000000000004,1684.0,1.8290080923616574,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1138.0
6,7.176470588235295,5.4778459813771905,0.1305991280860033,13.920872366202895,-12.087658592848907,1707.7647058823532,1.966764226461261,0.0,0.19607843137254904,0.0,0.0,0.0,0.19607843137254904,0.19607843137254904,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.0,0.019607843137254905,0.0,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1804.0
6,7.153846153846153,5.5120621305276165,0.13918879520298738,14.22159653636338,-11.863905325443783,1730.6153846153843,2.0745372695142112,0.0,0.1923076923076923,0.0,0.0,0.0,0.1923076923076923,0.1923076923076923,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2456.0
6,7.132075471698114,5.541141472099247,0.1466475979275763,14.431908651129232,-11.648273406906373,1752.6037735849059,2.1714306213831533,0.0,0.18867924528301888,0.0,0.0,0.0,0.18867924528301888,0.18867924528301888,0.0,0.18867924528301888,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.18867924528301888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2649.0
6,7.111111111111111,5.565662422743796,0.15319191904391252,14.58502024404227,-11.440329218106994,1773.7777777777776,2.2613496783267992,0.0,0.18518518518518517,0.0,0.0,0.0,0.18518518518518517,0.18518518518518517,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2670.0
6,7.090909090909091,5.586126873993382,0.15897918154679644,14.697168880613486,-11.239669421487605,1794.1818181818182,2.3461004230186626,0.0,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2757.0
5,7.2,5.437822931966038,0.12056533498481224,13.380866803977112,-12.320000000000004,1684.0,1.8290080923616574,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1051.0
